Postcode,Neighborhood
Dublin 1,Centre 1
Dublin 2,Centre 2
Dublin 3,Clontarf Dollymount
Dublin 4,Ballsbridge Donnybrook
Dublin 5,Artane Coolock Raheny
Dublin 6,Milltown Ranelagh Rathmines
Dublin 6W,Harolds Cross Terenure
Dublin 7,Arbor Hill
Dublin 8,Dolphins Barn Inchicore
Dublin 9,East Ballymun Beaumont
Dublin 10,Ballyfermot Cherry Orchard
Dublin 11,West Ballymun Finglas
Dublin 12,Bluebell Crumlin Drimnagh
Dublin 13,Baldoyle Donaghmede
Dublin 14,Churchtown Clonskeagh
Dublin 15,Ashtown Blanchardtown Castleknock
Dublin 16,Balinteer Ballyboden Dundrum
Dublin 17,Balgriffin Darndale
Dublin 18,Foxrock Sandyford Carrickmines
Dublin 20,Chapelizod Palmerstown
Dublin 22,Clondalkin Liffey Valley
Dublin 24, Tallaght Firhouse Jobstown
