Address,Postal Code,County,Price,NotMP,VATEx
"2 Leix Rd, Cabra, Dublin 7",Dublin 7,Dublin,30000,Yes,No
"2 Woodale View, Ballycullen, Firhouse Dublin 24",Dublin 24,Dublin,30000,Yes,No
"Apt 50, Earlsfield Court, Francis St Dublin 8",Dublin 8,Dublin,15000,Yes,No
"3 Somerton Copse, Lucan",,Dublin,290750,No,Yes
"31 All Saints Park, Raheny, Dublin 5",Dublin 5,Dublin,460000,No,No
"40 The Courtyard, Clonsilla, Dublin 15",Dublin 15,Dublin,221500,No,No
"407 Casement Rd, Finglas West, Dublin 11",Dublin 11,Dublin,265000,No,No
"Crimand, Esker Lane, Ballydowd",,Dublin,535000,No,No
"1 Ardilaun Court, Sybil Hill Road, Raheny",Dublin 5,Dublin,414097,No,Yes
"15 Alma Rd, Monkstown, Dublin",,Dublin,2500000,No,No
"2 Rahillion Park, Donabate",,Dublin,383259,No,Yes
"22 Rathbourne Square, Ashtown, Dublin 15",Dublin 15,Dublin,335000,No,Yes
"22 Somerton Copse, Lucan",,Dublin,308370,No,Yes
"23 Ashford St, Dublin 7, Dublin",Dublin 7,Dublin,283000,No,No
"23 Latchford Green, Castaheany, Dublin 15",Dublin 15,Dublin,285000,No,No
"23 Sarsfield Park, Lucan, Dublin",,Dublin,327000,No,No
"26 Millers Avenue, Millers Glen, Swords",,Dublin,293111,No,Yes
"36 Georgian Hamlet, Baldoyle, Dublin 13",Dublin 13,Dublin,340000,No,No
"37 Earlsfort Ave, Lucan, Dublin",,Dublin,276000,No,No
"44 Beechwood Gate, Beechwood, Hansfield",Dublin 15,Dublin,318722,No,Yes
"51 Cedar Sq, The Cedars, Ridgewood",,Dublin,279000,No,No
"62 Southgate Apts, Cork St, Dublin 8",Dublin 8,Dublin,225000,No,No
"69 Carlingford Rd, Drumcondra, Dublin 9",Dublin 9,Dublin,470000,No,No
"Apartment 1, 17 The Meadow, Robswall",,Dublin,346667,No,Yes
"1 The Bridge, Main St, Shankill Dublin 18",Dublin 18,Dublin,285000,No,No
"11 Corrybeg, Templeogue Bridge, Dublin 6W",,Dublin,1325000,No,No
"125 Glasnevin Ave, Dublin 11, Dublin",Dublin 11,Dublin,425000,No,No
"13 Inglewood Close, Clonsilla, Dublin 15",Dublin 15,Dublin,200000,No,No
"14 Millers Avenue, Millers Glen, Swords",,Dublin,306309,No,Yes
"14 Waterside Green, Waterside, Swords Road",,Dublin,308282,No,Yes
"15 Glenamuck Cottages, Carrickmines, Dublin 18",Dublin 18,Dublin,440000,No,No
"169 Crosbies Yard, Ossory Rd, East Wall Dublin 3",Dublin 3,Dublin,302000,No,No
"17 Fairway Drive, Cualanor, Upper Glenageary Road",,Dublin,713656,No,Yes
"17 Talbot Rd, Malahide, Dublin",,Dublin,480000,No,No
